Name,Primary Attribute,WinRate_Mean,WinRate_Std,WinRate_Delta,PickRate_Mean,Role_Carry,Role_Disabler,Role_Durable,Role_Escape,Role_Initiator,Role_Nuker,Role_Pusher,Role_Support
Anti-Mage,Agilidade,49.6114,0.4212,0.47,1.3461,1,0,0,1,0,1,0,0
Axe,Forca,50.5214,1.3346,-4.0,2.2366,1,1,1,0,1,0,0,0
Bane,Universal,49.5629,1.5566,3.85,0.4804,0,1,1,0,0,1,0,1
Bloodseeker,Agilidade,51.3157,0.3758,0.41,0.5227,1,1,0,0,1,1,0,0
Crystal Maiden,Inteligencia,51.8871,1.5569,-4.46,1.7565,0,1,0,0,0,1,0,1
Drow Ranger,Agilidade,46.27,0.6675,-1.93,1.4937,1,1,0,0,0,0,1,0
Earthshaker,Forca,50.3143,0.6872,1.62,1.8631,0,1,0,0,1,1,0,1
Juggernaut,Agilidade,51.8714,0.5916,1.37,2.2147,1,0,0,1,0,0,1,0
Mirana,Agilidade,51.6157,0.6189,-1.19,1.6089,1,1,0,1,0,1,0,1
Morphling,Agilidade,47.4671,0.4564,1.39,0.437,1,1,1,1,0,1,0,0
Shadow Fiend,Agilidade,48.3286,0.3367,-0.36,2.8764,1,0,0,0,0,1,0,0
Phantom Lancer,Agilidade,52.6886,0.3036,-0.49,1.5281,1,0,0,1,0,1,1,0
Puck,Inteligencia,45.8114,2.1667,6.1,0.4142,0,1,0,1,1,1,0,0
Pudge,Forca,51.4529,0.8835,-2.12,3.471,0,1,1,0,1,1,0,0
Razor,Agilidade,50.0614,0.3304,-0.29,0.8207,1,0,1,0,0,1,1,0
Sand King,Universal,49.0586,1.811,-5.28,0.5385,0,1,0,1,1,1,0,1
Storm Spirit,Inteligencia,46.3843,0.4945,0.62,0.7685,1,1,0,1,1,1,0,0
Sven,Forca,50.6586,0.586,1.86,1.0771,1,1,1,0,1,1,0,0
Tiny,Forca,44.4343,0.6362,-0.56,0.6006,1,1,1,0,1,1,1,0
Vengeful Spirit,Agilidade,52.8829,0.9208,-2.55,1.3435,0,1,0,1,1,1,0,1
Windranger,Universal,48.5757,0.4479,0.33,2.1034,1,1,0,1,0,1,0,1
Zeus,Inteligencia,49.7657,0.5734,-0.6,1.6824,1,0,0,0,0,1,0,0
Kunkka,Forca,49.3114,0.6011,1.17,0.5349,1,1,1,0,1,1,0,1
Lina,Inteligencia,49.44,1.0488,2.37,2.7203,1,1,0,0,0,1,0,1
Lion,Inteligencia,48.7957,0.2024,0.53,3.0909,0,1,0,0,1,1,0,1
Shadow Shaman,Inteligencia,51.7271,0.2324,-0.64,1.9031,0,1,0,0,1,1,1,1
Slardar,Forca,50.29,1.1577,-3.59,1.0645,1,1,1,1,1,0,0,0
Tidehunter,Forca,49.9643,0.4013,-0.58,0.9056,1,1,1,0,1,1,0,0
Witch Doctor,Inteligencia,51.9386,1.239,-3.29,1.9078,0,1,0,0,0,1,0,1
Lich,Inteligencia,52.4886,0.5721,-0.2,1.3029,0,0,0,0,0,1,0,1
Riki,Agilidade,51.8643,0.5341,0.61,0.6844,1,1,0,1,0,0,0,0
Enigma,Universal,50.9743,3.1658,9.4,0.5432,0,1,0,0,1,0,1,0
Tinker,Inteligencia,46.7843,1.76,4.74,0.5955,1,0,0,0,0,1,1,0
Sniper,Agilidade,49.8343,1.6557,-4.87,2.5895,1,0,0,0,0,1,0,0
Necrophos,Inteligencia,51.5586,1.3198,-3.86,2.0603,1,1,1,0,0,1,0,0
Warlock,Inteligencia,49.2957,1.7185,-4.97,0.7069,0,1,0,0,1,0,0,1
Beastmaster,Universal,45.2657,1.5438,-0.66,0.2666,0,1,1,0,1,1,0,0
Queen of Pain,Inteligencia,47.04,0.2462,-0.12,1.132,1,0,0,1,0,1,0,0
Venomancer,Universal,47.3914,0.731,-2.21,0.8936,0,1,0,0,1,1,1,1
Faceless Void,Agilidade,48.61,0.5382,1.43,1.1034,1,1,1,1,1,0,0,0
Wraith King,Forca,54.6043,1.2048,-3.39,1.4972,1,1,1,0,1,0,0,1
Death Prophet,Universal,48.2429,0.4442,1.0,0.5125,1,1,0,0,0,1,1,0
Phantom Assassin,Agilidade,51.19,0.9982,-2.48,1.7808,1,0,0,1,0,0,0,0
Pugna,Inteligencia,49.6786,1.9292,4.32,0.5164,0,0,0,0,0,1,1,0
Templar Assassin,Agilidade,45.3257,0.3556,-0.35,0.6544,1,0,0,1,0,0,0,0
Viper,Agilidade,48.2557,0.3276,0.79,1.0742,1,1,1,0,1,0,0,0
Luna,Agilidade,50.4829,0.5733,-0.98,1.3108,1,0,0,0,0,1,1,0
Dragon Knight,Forca,51.5457,0.5563,-0.57,0.8203,1,1,1,0,1,1,1,0
Dazzle,Universal,50.7743,1.0837,3.02,0.5786,0,1,0,0,0,1,0,1
Clockwerk,Forca,48.2557,1.0395,1.29,0.5631,0,1,1,0,1,1,0,0
Leshrac,Inteligencia,50.0343,1.2627,3.99,0.2442,1,1,0,0,0,1,1,1
Nature's Prophet,Universal,43.34,1.6174,-3.2,1.2635,1,0,0,1,0,1,1,0
Lifestealer,Forca,52.8429,0.6087,0.94,2.2822,1,1,1,1,0,0,0,0
Dark Seer,Inteligencia,49.2186,1.0674,3.4,0.7029,0,1,0,1,1,0,0,0
Clinkz,Agilidade,49.6657,0.8293,1.13,0.6666,1,0,0,1,0,0,1,0
Omniknight,Forca,49.93,1.9409,5.23,0.285,0,0,1,0,0,1,0,1
Enchantress,Inteligencia,47.8243,0.2406,0.23,0.3753,0,1,1,0,0,0,1,1
Huskar,Forca,45.2471,0.7222,0.01,0.5604,1,0,1,0,1,0,0,0
Night Stalker,Forca,50.7643,1.8684,4.44,0.9229,1,1,1,0,1,1,0,0
Broodmother,Agilidade,50.0786,0.6968,1.56,0.2503,1,0,0,1,0,1,1,0
Bounty Hunter,Agilidade,52.8929,2.5082,6.92,1.2093,0,0,0,1,0,1,0,0
Weaver,Agilidade,47.1,0.402,-0.48,0.7036,1,0,0,1,0,0,0,0
Jakiro,Inteligencia,48.63,1.3794,-3.4,1.0448,0,1,0,0,0,1,1,1
Batrider,Universal,43.9229,1.1267,2.5,0.1235,0,1,0,1,1,0,0,0
Chen,Inteligencia,44.8386,1.9451,6.07,0.0545,0,0,0,0,0,0,1,1
Spectre,Agilidade,54.3129,0.7489,-2.22,1.5272,1,0,1,1,0,0,0,0
Ancient Apparition,Inteligencia,51.4286,0.9804,-1.3,0.8172,0,1,0,0,0,1,0,1
Doom,Forca,47.23,1.2127,3.22,0.6931,1,1,1,0,1,1,0,0
Ursa,Agilidade,46.7786,1.1883,3.33,0.6845,1,1,1,0,0,0,0,0
Spirit Breaker,Forca,51.9343,0.1969,0.2,1.9819,1,1,1,1,1,0,0,0
Gyrocopter,Agilidade,45.2086,0.6377,0.21,0.3415,1,1,0,0,0,1,0,0
Alchemist,Forca,46.9214,0.9946,-2.65,0.3809,1,1,1,0,1,1,0,1
Invoker,Inteligencia,50.2843,0.9245,2.2,2.3678,1,1,0,1,0,1,1,0
Silencer,Inteligencia,50.7086,1.3724,-3.92,1.2499,1,1,0,0,1,1,0,1
Outworld Devourer,Inteligencia,51.98,2.2214,5.32,1.0031,1,1,0,0,0,1,0,0
Lycan,Forca,48.3629,1.7934,3.29,0.1572,1,0,1,1,0,0,1,0
Brewmaster,Universal,51.1329,1.3735,2.48,0.1887,1,1,1,0,1,1,0,0
Shadow Demon,Inteligencia,44.3014,1.7696,4.61,0.2741,0,1,0,0,1,1,0,1
Lone Druid,Agilidade,48.4429,0.9696,-1.74,0.4313,1,0,1,0,0,0,1,0
Chaos Knight,Forca,51.4786,0.6658,-1.38,0.6186,1,1,1,0,1,0,1,0
Meepo,Agilidade,52.3471,1.1588,2.49,0.2163,1,1,0,1,1,1,1,0
Treant Protector,Forca,49.4557,1.1141,2.73,0.7624,0,1,1,1,1,0,0,1
Ogre Magi,Forca,50.6871,1.3238,-3.68,2.1064,0,1,1,0,1,1,0,1
Undying,Forca,50.7057,0.5266,-1.28,1.8512,0,1,1,0,0,1,0,1
Rubick,Inteligencia,49.54,0.5494,1.44,2.4417,0,1,0,0,0,1,0,1
Disruptor,Inteligencia,49.6043,0.964,3.02,0.9403,0,1,0,0,1,1,0,1
Nyx Assassin,Universal,52.29,0.4077,0.67,0.7053,0,1,0,1,1,1,0,0
Naga Siren,Agilidade,48.7214,0.9829,-0.92,0.2215,1,1,0,1,1,0,1,1
Keeper of the Light,Inteligencia,49.8171,1.9653,5.39,0.8343,0,1,0,0,0,1,0,1
Io,Universal,48.7714,0.5005,1.05,0.5619,0,0,0,1,0,1,0,1
Visage,Universal,52.3071,2.6284,7.02,0.1888,0,1,1,0,0,1,1,1
Slark,Agilidade,50.4186,1.1613,-1.75,1.2668,1,1,0,1,0,1,0,0
