hero_id,hero_name,primary_attr,roles,picks_Herald,wins_Herald,winrate_Herald,picks_Guardian,wins_Guardian,winrate_Guardian,picks_Crusader,wins_Crusader,winrate_Crusader,picks_Archon,wins_Archon,winrate_Archon,picks_Legend,wins_Legend,winrate_Legend,picks_Ancient,wins_Ancient,winrate_Ancient,picks_Divine,wins_Divine,winrate_Divine,picks_Immortal,wins_Immortal,winrate_Immortal
1,Anti-Mage,agi,"Carry,Escape,Nuker",15444,7560,48.95,50643,25221,49.8,84250,42338,50.25,107726,53783,49.93,98372,48626,49.43,56831,28132,49.5,29214,14438,49.42,0,0,
2,Axe,str,"Initiator,Durable,Disabler,Carry",19924,10462,52.51,70576,36362,51.52,124323,63571,51.13,173102,87422,50.5,180656,90264,49.96,118005,58437,49.52,73308,35562,48.51,0,0,
3,Bane,all,"Support,Disabler,Nuker,Durable",4361,2081,47.72,14181,6813,48.04,24029,11733,48.83,33223,16324,49.13,34859,17485,50.16,25082,12914,51.49,22046,11370,51.57,0,0,
4,Bloodseeker,agi,"Carry,Disabler,Nuker,Initiator",10432,5362,51.4,24136,12309,51.0,30105,15424,51.23,31759,16201,51.01,26584,13777,51.82,14418,7345,50.94,7218,3740,51.81,0,0,
5,Crystal Maiden,int,"Support,Disabler,Nuker",19299,10496,54.39,63841,34021,53.29,101199,53002,52.37,128374,65900,51.33,127360,65278,51.25,82336,41702,50.65,49943,24937,49.93,0,0,
6,Drow Ranger,agi,"Carry,Disabler,Pusher",19199,9075,47.27,56788,26623,46.88,86613,40293,46.52,108788,50211,46.15,103571,47630,45.99,63401,28999,45.74,36077,16356,45.34,0,0,
7,Earthshaker,str,"Support,Initiator,Disabler,Nuker",17924,8905,49.68,57666,28535,49.48,98437,48994,49.77,136226,68684,50.42,146240,74075,50.65,100764,51288,50.9,64798,33243,51.3,0,0,
8,Juggernaut,agi,"Carry,Pusher,Escape",21408,10895,50.89,70212,36148,51.48,118823,61234,51.53,165083,85872,52.02,176583,92596,52.44,118370,62123,52.48,71916,37581,52.26,0,0,
9,Mirana,agi,"Carry,Support,Escape,Nuker,Disabler",9183,4729,51.5,36471,18972,52.02,73477,38007,51.73,115777,60434,52.2,137775,71442,51.85,105462,54524,51.7,83975,42250,50.31,0,0,
10,Morphling,agi,"Carry,Escape,Durable,Nuker,Disabler",3984,1857,46.61,12392,5842,47.14,21595,10266,47.54,30790,14661,47.62,33173,15799,47.63,24161,11533,47.73,18891,9068,48.0,0,0,
